COORDENADAS DOS PONTOS DE TOMADA DE FOTO
id                X                   Y                  Z
1001          484548.442          4290121.093          104.00
1002          484843.352          4290119.872          104.00
1003          485138.261          4290118.651          104.00
1004          485433.171          4290117.431          104.00
1005          485728.080          4290116.210          104.00
1006          486022.990          4290114.989          104.00
1007          486317.899          4290113.768          104.00
1008          486612.809          4290112.547          104.00
1009          486907.718          4290111.326          104.00
1010          487202.628          4290110.105          104.00
1011          487497.537          4290108.885          104.00
1012          487792.447          4290107.664          104.00
1013          488087.356          4290106.443          104.00
1014          488382.266          4290105.222          104.00
1015          488677.175          4290104.001          104.00
1016          488972.084          4290102.780          104.00
2001          484544.322          4289125.774          104.00
2002          484839.232          4289124.553          104.00
2003          485134.141          4289123.332          104.00
2004          485429.050          4289122.111          104.00
2005          485723.960          4289120.890          104.00
2006          486018.869          4289119.669          104.00
2007          486313.779          4289118.449          104.00
2008          486608.688          4289117.228          104.00
2009          486903.598          4289116.007          104.00
2010          487198.507          4289114.786          104.00
2011          487493.417          4289113.565          104.00
2012          487788.326          4289112.344          104.00
2013          488083.236          4289111.123          104.00
2014          488378.145          4289109.903          104.00
2015          488673.055          4289108.682          104.00
2016          488967.964          4289107.461          104.00
3001          484540.202          4288130.454          104.00
3002          484835.111          4288129.233          104.00
3003          485130.021          4288128.012          104.00
3004          485424.930          4288126.792          104.00
3005          485719.840          4288125.571          104.00
3006          486014.749          4288124.350          104.00
3007          486309.659          4288123.129          104.00
3008          486604.568          4288121.908          104.00
3009          486899.477          4288120.687          104.00
3010          487194.387          4288119.467          104.00
3011          487489.296          4288118.246          104.00
3012          487784.206          4288117.025          104.00
3013          488079.115          4288115.804          104.00
3014          488374.025          4288114.583          104.00
3015          488668.934          4288113.362          104.00
3016          488963.844          4288112.141          104.00
